!                T (MeV)                 t (sec)               ln(a/a_i)               L/n_gamma          \Omega_wdm h^2
  8.6974900261778387E+01  8.1410232475611686E-05  5.2904924651499767E+00  2.0770577891796077E-03  1.8107495652809669E-01
  8.1113083078968756E+01  9.4254586144280881E-05  5.3666274863169203E+00  2.0377722451474407E-03  1.7766538560957043E-01
  7.5646332755462936E+01  1.0906186332338228E-04  5.4422584967364704E+00  2.0022684735331434E-03  1.7458107594566333E-01
  7.0548023107186481E+01  1.2616981923920800E-04  5.5176110674189660E+00  1.9690349697039822E-03  1.7169157989289996E-01
  6.5793322465756845E+01  1.4597277402226099E-04  5.5928557803765804E+00  1.9369841489207524E-03  1.6890305950337839E-01
  6.1359072734131772E+01  1.6893127756072171E-04  5.6681206166447362E+00  1.9053425756315320E-03  1.6614849330411177E-01
  5.7223676593502212E+01  1.9558341563480987E-04  5.7434995084028335E+00  1.8735783771546952E-03  1.6338253628275717E-01
  5.3366992312063132E+01  2.2655643834306060E-04  5.8190572286763267E+00  1.8413561961361708E-03  1.6057532603747141E-01
  4.9770235643321143E+01  2.6258138350723981E-04  5.8948330049874196E+00  1.8085051358698952E-03  1.5771268382166503E-01
  4.6415888336127821E+01  3.0450754623171836E-04  5.9708422211309582E+00  1.7749971756305324E-03  1.5479255372752532E-01
  4.3287612810830616E+01  3.5331663073011533E-04  6.0470772418486716E+00  1.7409304649647942E-03  1.5182302798467673E-01
  4.0370172585965577E+01  4.1013967298256091E-04  6.1235083340795562E+00  1.7065135778742743E-03  1.4882264787855562E-01
  3.7649358067924709E+01  4.7627317899402467E-04  6.2000852719118669E+00  1.6720453977260585E-03  1.4581759759298327E-01
  3.5111917342151344E+01  5.5319532128047058E-04  6.2767389190475731E+00  1.6378964602271756E-03  1.4284011164742419E-01
  3.2745491628777316E+01  6.4258274881372071E-04  6.3533843528430767E+00  1.6044845073396729E-03  1.3992680672642790E-01
  3.0538555088334185E+01  7.4632822250193440E-04  6.4299249229289730E+00  1.5722486842702158E-03  1.3711595564865797E-01
  2.8480358684358045E+01  8.6655973531918557E-04  6.5062571628693995E+00  1.5416237149833002E-03  1.3444546240698096E-01
  2.6560877829466889E+01  1.0056641482987703E-03  6.5822771088780812E+00  1.5130121284380503E-03  1.3195046851986802E-01
  2.4770763559917135E+01  1.1663169334369969E-03  6.6578868929926882E+00  1.4867598715397222E-03  1.2966121549924159E-01
  2.3101297000831622E+01  1.3515222277211785E-03  6.7330014841298516E+00  1.4631351197956907E-03  1.2760120899971159E-01
  2.1544346900318860E+01  1.5646672470647762E-03  6.8075550016548387E+00  1.4423114647688622E-03  1.2578543905733644E-01
  2.0092330025650494E+01  1.8095946758111454E-03  6.8815055977576183E+00  1.4243581743761460E-03  1.2421953329580490E-01
  1.8738174228603860E+01  2.0906905212765147E-03  6.9548370676243296E+00  1.4092434134724003E-03  1.2290118518634877E-01
  1.7475284000076858E+01  2.4130009809038714E-03  7.0275604713874031E+00  1.3968348524679292E-03  1.2181959301968871E-01
  1.6297508346206460E+01  2.7823624310485823E-03  7.0997109672859846E+00  1.3869172241328690E-03  1.2095439513880889E-01
  1.5199110829529355E+01  3.2055402222478887E-03  7.1713413577171110E+00  1.3792203449334909E-03  1.2028314521382269E-01
  1.4174741629268068E+01  3.6904266237911512E-03  7.2425218059194449E+00  1.3734188135428155E-03  1.1977724492742627E-01
  1.3219411484660306E+01  4.2461823785665525E-03  7.3133262286788625E+00  1.3691853585671527E-03  1.1940806434976993E-01
  1.2328467394420676E+01  4.8834233144784316E-03  7.3838269660147402E+00  1.3662090753333656E-03  1.1914847994474100E-01
  1.1497569953977372E+01  5.6144660519801080E-03  7.4540940952792951E+00  1.3641949917349136E-03  1.1897276713018369E-01
  1.0722672220103245E+01  6.4535424268472230E-03  7.5241891707743491E+00  1.3628871611425367E-03  1.1885875325045585E-01
  1.0000000000000012E+01  7.4171520628994667E-03  7.5941693996419373E+00  1.3620497884073266E-03  1.1878559287766305E-01
