#        T (MeV)   d\mu_e/dL_\mu  d\mu_\mu/dL_\mu  d\mu_\tau/dL_\mu  d\mu_{\nu_e}/dL_\mu  d\mu_{\nu_\mu}/dL_\mu  d\mu_{\nu_\tau}/dL_\mu   d\mu_Q/dL_\mu   d\mu_B/dL_\mu in units of T^-2
      1.8450e+03     -1.6505e-01       1.8356e+00       -1.8047e-01           3.3010e-01             2.3307e+00              3.1467e-01      4.9515e-01     -1.4459e-01
      1.8500e+03     -1.6499e-01       1.8356e+00       -1.8033e-01           3.2998e-01             2.3306e+00              3.1465e-01      4.9498e-01     -1.4435e-01
      1.8550e+03     -1.6494e-01       1.8357e+00       -1.8018e-01           3.2987e-01             2.3305e+00              3.1462e-01      4.9481e-01     -1.4411e-01
      1.8600e+03     -1.6488e-01       1.8357e+00       -1.8004e-01           3.2976e-01             2.3304e+00              3.1460e-01      4.9464e-01     -1.4387e-01
      1.8650e+03     -1.6482e-01       1.8358e+00       -1.7990e-01           3.2965e-01             2.3302e+00              3.1457e-01      4.9447e-01     -1.4363e-01
      1.8700e+03     -1.6477e-01       1.8358e+00       -1.7976e-01           3.2954e-01             2.3301e+00              3.1454e-01      4.9430e-01     -1.4339e-01
      1.8750e+03     -1.6471e-01       1.8359e+00       -1.7962e-01           3.2942e-01             2.3300e+00              3.1452e-01      4.9414e-01     -1.4316e-01
      1.8800e+03     -1.6466e-01       1.8359e+00       -1.7948e-01           3.2931e-01             2.3299e+00              3.1449e-01      4.9397e-01     -1.4292e-01
      1.8850e+03     -1.6460e-01       1.8360e+00       -1.7934e-01           3.2921e-01             2.3298e+00              3.1447e-01      4.9381e-01     -1.4269e-01
      1.8900e+03     -1.6455e-01       1.8360e+00       -1.7921e-01           3.2910e-01             2.3297e+00              3.1444e-01      4.9365e-01     -1.4245e-01
      1.8950e+03     -1.6449e-01       1.8361e+00       -1.7907e-01           3.2899e-01             2.3296e+00              3.1441e-01      4.9348e-01     -1.4222e-01
      1.9000e+03     -1.6444e-01       1.8361e+00       -1.7894e-01           3.2888e-01             2.3295e+00              3.1439e-01      4.9332e-01     -1.4199e-01
      1.9050e+03     -1.6439e-01       1.8362e+00       -1.7880e-01           3.2878e-01             2.3293e+00              3.1436e-01      4.9316e-01     -1.4176e-01
      1.9100e+03     -1.6434e-01       1.8362e+00       -1.7867e-01           3.2867e-01             2.3292e+00              3.1433e-01      4.9301e-01     -1.4154e-01
      1.9150e+03     -1.6428e-01       1.8363e+00       -1.7854e-01           3.2857e-01             2.3291e+00              3.1431e-01      4.9285e-01     -1.4131e-01
      1.9200e+03     -1.6423e-01       1.8363e+00       -1.7841e-01           3.2846e-01             2.3290e+00              3.1428e-01      4.9269e-01     -1.4109e-01
      1.9250e+03     -1.6418e-01       1.8364e+00       -1.7828e-01           3.2836e-01             2.3289e+00              3.1426e-01      4.9254e-01     -1.4086e-01
      1.9300e+03     -1.6413e-01       1.8364e+00       -1.7815e-01           3.2826e-01             2.3288e+00              3.1423e-01      4.9238e-01     -1.4064e-01
      1.9350e+03     -1.6408e-01       1.8365e+00       -1.7803e-01           3.2815e-01             2.3287e+00              3.1421e-01      4.9223e-01     -1.4042e-01
      1.9400e+03     -1.6403e-01       1.8365e+00       -1.7790e-01           3.2805e-01             2.3286e+00              3.1418e-01      4.9208e-01     -1.4020e-01
      1.9450e+03     -1.6398e-01       1.8366e+00       -1.7777e-01           3.2795e-01             2.3285e+00              3.1415e-01      4.9193e-01     -1.3998e-01
      1.9500e+03     -1.6393e-01       1.8366e+00       -1.7765e-01           3.2785e-01             2.3284e+00              3.1413e-01      4.9178e-01     -1.3976e-01
      1.9550e+03     -1.6388e-01       1.8367e+00       -1.7753e-01           3.2775e-01             2.3283e+00              3.1410e-01      4.9163e-01     -1.3955e-01
      1.9600e+03     -1.6383e-01       1.8367e+00       -1.7740e-01           3.2765e-01             2.3282e+00              3.1408e-01      4.9148e-01     -1.3933e-01
      1.9650e+03     -1.6378e-01       1.8368e+00       -1.7728e-01           3.2755e-01             2.3281e+00              3.1405e-01      4.9133e-01     -1.3912e-01
      1.9700e+03     -1.6373e-01       1.8368e+00       -1.7716e-01           3.2746e-01             2.3280e+00              3.1403e-01      4.9119e-01     -1.3891e-01
      1.9750e+03     -1.6368e-01       1.8369e+00       -1.7704e-01           3.2736e-01             2.3279e+00              3.1400e-01      4.9104e-01     -1.3870e-01
      1.9800e+03     -1.6363e-01       1.8369e+00       -1.7692e-01           3.2726e-01             2.3278e+00              3.1397e-01      4.9090e-01     -1.3849e-01
      1.9850e+03     -1.6358e-01       1.8369e+00       -1.7680e-01           3.2717e-01             2.3277e+00              3.1395e-01      4.9075e-01     -1.3828e-01
      1.9900e+03     -1.6354e-01       1.8370e+00       -1.7669e-01           3.2707e-01             2.3276e+00              3.1392e-01      4.9061e-01     -1.3807e-01
      1.9950e+03     -1.6349e-01       1.8370e+00       -1.7657e-01           3.2698e-01             2.3275e+00              3.1390e-01      4.9047e-01     -1.3786e-01
      2.0000e+03     -1.6344e-01       1.8371e+00       -1.7645e-01           3.2688e-01             2.3274e+00              3.1387e-01      4.9033e-01     -1.3766e-01
      2.0050e+03     -1.6340e-01       1.8371e+00       -1.7634e-01           3.2679e-01             2.3273e+00              3.1385e-01      4.9019e-01     -1.3746e-01
      2.0100e+03     -1.6335e-01       1.8372e+00       -1.7622e-01           3.2670e-01             2.3272e+00              3.1382e-01      4.9005e-01     -1.3725e-01
      2.0150e+03     -1.6330e-01       1.8372e+00       -1.7611e-01           3.2661e-01             2.3271e+00              3.1380e-01      4.8991e-01     -1.3705e-01
      2.0200e+03     -1.6326e-01       1.8373e+00       -1.7600e-01           3.2651e-01             2.3270e+00              3.1377e-01      4.8977e-01     -1.3685e-01
      2.0250e+03     -1.6321e-01       1.8373e+00       -1.7589e-01           3.2642e-01             2.3269e+00              3.1375e-01      4.8963e-01     -1.3665e-01
      2.0300e+03     -1.6317e-01       1.8373e+00       -1.7578e-01           3.2633e-01             2.3268e+00              3.1372e-01      4.8950e-01     -1.3645e-01
      2.0350e+03     -1.6312e-01       1.8374e+00       -1.7567e-01           3.2624e-01             2.3267e+00              3.1370e-01      4.8936e-01     -1.3626e-01
      2.0400e+03     -1.6308e-01       1.8374e+00       -1.7556e-01           3.2615e-01             2.3267e+00              3.1367e-01      4.8923e-01     -1.3606e-01
      2.0450e+03     -1.6303e-01       1.8375e+00       -1.7545e-01           3.2606e-01             2.3266e+00              3.1365e-01      4.8910e-01     -1.3586e-01
      2.0500e+03     -1.6299e-01       1.8375e+00       -1.7534e-01           3.2598e-01             2.3265e+00              3.1362e-01      4.8897e-01     -1.3567e-01
      2.0550e+03     -1.6294e-01       1.8375e+00       -1.7523e-01           3.2589e-01             2.3264e+00              3.1360e-01      4.8883e-01     -1.3548e-01
      2.0600e+03     -1.6290e-01       1.8376e+00       -1.7513e-01           3.2580e-01             2.3263e+00              3.1357e-01      4.8870e-01     -1.3529e-01
      2.0650e+03     -1.6286e-01       1.8376e+00       -1.7502e-01           3.2572e-01             2.3262e+00              3.1355e-01      4.8857e-01     -1.3510e-01
      2.0700e+03     -1.6281e-01       1.8377e+00       -1.7492e-01           3.2563e-01             2.3261e+00              3.1353e-01      4.8844e-01     -1.3491e-01
      2.0750e+03     -1.6277e-01       1.8377e+00       -1.7481e-01           3.2554e-01             2.3260e+00              3.1350e-01      4.8832e-01     -1.3472e-01
      2.0800e+03     -1.6273e-01       1.8378e+00       -1.7471e-01           3.2546e-01             2.3259e+00              3.1348e-01      4.8819e-01     -1.3453e-01
      2.0850e+03     -1.6269e-01       1.8378e+00       -1.7461e-01           3.2537e-01             2.3259e+00              3.1345e-01      4.8806e-01     -1.3434e-01
      2.0900e+03     -1.6265e-01       1.8378e+00       -1.7451e-01           3.2529e-01             2.3258e+00              3.1343e-01      4.8794e-01     -1.3416e-01
      2.0950e+03     -1.6260e-01       1.8379e+00       -1.7441e-01           3.2521e-01             2.3257e+00              3.1341e-01      4.8781e-01     -1.3397e-01
      2.1000e+03     -1.6256e-01       1.8379e+00       -1.7431e-01           3.2512e-01             2.3256e+00              3.1338e-01      4.8769e-01     -1.3379e-01
      2.1050e+03     -1.6252e-01       1.8379e+00       -1.7421e-01           3.2504e-01             2.3255e+00              3.1336e-01      4.8756e-01     -1.3361e-01
      2.1100e+03     -1.6248e-01       1.8380e+00       -1.7411e-01           3.2496e-01             2.3254e+00              3.1333e-01      4.8744e-01     -1.3343e-01
      2.1150e+03     -1.6244e-01       1.8380e+00       -1.7401e-01           3.2488e-01             2.3253e+00              3.1331e-01      4.8732e-01     -1.3325e-01
      2.1200e+03     -1.6240e-01       1.8381e+00       -1.7391e-01           3.2480e-01             2.3253e+00              3.1329e-01      4.8720e-01     -1.3307e-01
      2.1250e+03     -1.6236e-01       1.8381e+00       -1.7381e-01           3.2472e-01             2.3252e+00              3.1326e-01      4.8708e-01     -1.3289e-01
      2.1300e+03     -1.6232e-01       1.8381e+00       -1.7372e-01           3.2464e-01             2.3251e+00              3.1324e-01      4.8696e-01     -1.3271e-01
      2.1350e+03     -1.6228e-01       1.8382e+00       -1.7362e-01           3.2456e-01             2.3250e+00              3.1322e-01      4.8684e-01     -1.3254e-01
      2.1400e+03     -1.6224e-01       1.8382e+00       -1.7353e-01           3.2448e-01             2.3249e+00              3.1319e-01      4.8672e-01     -1.3236e-01
      2.1450e+03     -1.6220e-01       1.8383e+00       -1.7343e-01           3.2440e-01             2.3249e+00              3.1317e-01      4.8660e-01     -1.3219e-01
      2.1500e+03     -1.6216e-01       1.8383e+00       -1.7334e-01           3.2432e-01             2.3248e+00              3.1315e-01      4.8649e-01     -1.3202e-01
      2.1550e+03     -1.6212e-01       1.8383e+00       -1.7325e-01           3.2425e-01             2.3247e+00              3.1312e-01      4.8637e-01     -1.3184e-01
      2.1600e+03     -1.6208e-01       1.8384e+00       -1.7316e-01           3.2417e-01             2.3246e+00              3.1310e-01      4.8625e-01     -1.3167e-01
      2.1650e+03     -1.6205e-01       1.8384e+00       -1.7306e-01           3.2409e-01             2.3245e+00              3.1308e-01      4.8614e-01     -1.3150e-01
      2.1700e+03     -1.6201e-01       1.8384e+00       -1.7297e-01           3.2402e-01             2.3245e+00              3.1305e-01      4.8603e-01     -1.3133e-01
      2.1750e+03     -1.6197e-01       1.8385e+00       -1.7288e-01           3.2394e-01             2.3244e+00              3.1303e-01      4.8591e-01     -1.3117e-01
      2.1800e+03     -1.6193e-01       1.8385e+00       -1.7279e-01           3.2387e-01             2.3243e+00              3.1301e-01      4.8580e-01     -1.3100e-01
      2.1850e+03     -1.6190e-01       1.8385e+00       -1.7270e-01           3.2379e-01             2.3242e+00              3.1299e-01      4.8569e-01     -1.3083e-01
      2.1900e+03     -1.6186e-01       1.8386e+00       -1.7261e-01           3.2372e-01             2.3242e+00              3.1296e-01      4.8558e-01     -1.3067e-01
      2.1950e+03     -1.6182e-01       1.8386e+00       -1.7253e-01           3.2364e-01             2.3241e+00              3.1294e-01      4.8547e-01     -1.3050e-01
      2.2000e+03     -1.6179e-01       1.8386e+00       -1.7244e-01           3.2357e-01             2.3240e+00              3.1292e-01      4.8536e-01     -1.3034e-01
      2.2050e+03     -1.6175e-01       1.8387e+00       -1.7235e-01           3.2350e-01             2.3239e+00              3.1290e-01      4.8525e-01     -1.3018e-01
      2.2100e+03     -1.6171e-01       1.8387e+00       -1.7227e-01           3.2343e-01             2.3239e+00              3.1287e-01      4.8514e-01     -1.3001e-01
      2.2150e+03     -1.6168e-01       1.8387e+00       -1.7218e-01           3.2335e-01             2.3238e+00              3.1285e-01      4.8503e-01     -1.2985e-01
      2.2200e+03     -1.6164e-01       1.8388e+00       -1.7209e-01           3.2328e-01             2.3237e+00              3.1283e-01      4.8492e-01     -1.2969e-01
      2.2250e+03     -1.6161e-01       1.8388e+00       -1.7201e-01           3.2321e-01             2.3236e+00              3.1281e-01      4.8482e-01     -1.2953e-01
      2.2300e+03     -1.6157e-01       1.8388e+00       -1.7193e-01           3.2314e-01             2.3236e+00              3.1278e-01      4.8471e-01     -1.2938e-01
      2.2350e+03     -1.6153e-01       1.8389e+00       -1.7184e-01           3.2307e-01             2.3235e+00              3.1276e-01      4.8460e-01     -1.2922e-01
      2.2400e+03     -1.6150e-01       1.8389e+00       -1.7176e-01           3.2300e-01             2.3234e+00              3.1274e-01      4.8450e-01     -1.2906e-01
      2.2450e+03     -1.6147e-01       1.8389e+00       -1.7168e-01           3.2293e-01             2.3233e+00              3.1272e-01      4.8440e-01     -1.2891e-01
      2.2500e+03     -1.6143e-01       1.8390e+00       -1.7160e-01           3.2286e-01             2.3233e+00              3.1270e-01      4.8429e-01     -1.2875e-01
      2.2550e+03     -1.6140e-01       1.8390e+00       -1.7151e-01           3.2279e-01             2.3232e+00              3.1267e-01      4.8419e-01     -1.2860e-01
      2.2600e+03     -1.6136e-01       1.8390e+00       -1.7143e-01           3.2272e-01             2.3231e+00              3.1265e-01      4.8409e-01     -1.2844e-01
      2.2650e+03     -1.6133e-01       1.8391e+00       -1.7135e-01           3.2266e-01             2.3231e+00              3.1263e-01      4.8399e-01     -1.2829e-01
      2.2700e+03     -1.6129e-01       1.8391e+00       -1.7127e-01           3.2259e-01             2.3230e+00              3.1261e-01      4.8388e-01     -1.2814e-01
      2.2750e+03     -1.6126e-01       1.8391e+00       -1.7119e-01           3.2252e-01             2.3229e+00              3.1259e-01      4.8378e-01     -1.2799e-01
      2.2800e+03     -1.6123e-01       1.8392e+00       -1.7112e-01           3.2246e-01             2.3229e+00              3.1257e-01      4.8368e-01     -1.2784e-01
      2.2850e+03     -1.6119e-01       1.8392e+00       -1.7104e-01           3.2239e-01             2.3228e+00              3.1255e-01      4.8358e-01     -1.2769e-01
      2.2900e+03     -1.6116e-01       1.8392e+00       -1.7096e-01           3.2232e-01             2.3227e+00              3.1253e-01      4.8348e-01     -1.2754e-01
      2.2950e+03     -1.6113e-01       1.8393e+00       -1.7088e-01           3.2226e-01             2.3227e+00              3.1250e-01      4.8339e-01     -1.2740e-01
      2.3000e+03     -1.6110e-01       1.8393e+00       -1.7081e-01           3.2219e-01             2.3226e+00              3.1248e-01      4.8329e-01     -1.2725e-01
      2.3050e+03     -1.6106e-01       1.8393e+00       -1.7073e-01           3.2213e-01             2.3225e+00              3.1246e-01      4.8319e-01     -1.2711e-01
      2.3100e+03     -1.6103e-01       1.8394e+00       -1.7065e-01           3.2206e-01             2.3225e+00              3.1244e-01      4.8310e-01     -1.2696e-01
      2.3150e+03     -1.6100e-01       1.8394e+00       -1.7058e-01           3.2200e-01             2.3224e+00              3.1242e-01      4.8300e-01     -1.2682e-01
      2.3200e+03     -1.6097e-01       1.8394e+00       -1.7050e-01           3.2194e-01             2.3223e+00              3.1240e-01      4.8290e-01     -1.2667e-01
      2.3250e+03     -1.6094e-01       1.8394e+00       -1.7043e-01           3.2187e-01             2.3223e+00              3.1238e-01      4.8281e-01     -1.2653e-01
      2.3300e+03     -1.6090e-01       1.8395e+00       -1.7036e-01           3.2181e-01             2.3222e+00              3.1236e-01      4.8271e-01     -1.2639e-01
      2.3350e+03     -1.6087e-01       1.8395e+00       -1.7028e-01           3.2175e-01             2.3221e+00              3.1234e-01      4.8262e-01     -1.2625e-01
      2.3400e+03     -1.6084e-01       1.8395e+00       -1.7021e-01           3.2168e-01             2.3221e+00              3.1232e-01      4.8253e-01     -1.2611e-01
      2.3450e+03     -1.6081e-01       1.8396e+00       -1.7014e-01           3.2162e-01             2.3220e+00              3.1230e-01      4.8243e-01     -1.2597e-01
      2.3500e+03     -1.6078e-01       1.8396e+00       -1.7006e-01           3.2156e-01             2.3219e+00              3.1228e-01      4.8234e-01     -1.2583e-01
      2.3550e+03     -1.6075e-01       1.8396e+00       -1.6999e-01           3.2150e-01             2.3219e+00              3.1226e-01      4.8225e-01     -1.2569e-01
      2.3600e+03     -1.6072e-01       1.8397e+00       -1.6992e-01           3.2144e-01             2.3218e+00              3.1224e-01      4.8216e-01     -1.2556e-01
      2.3650e+03     -1.6069e-01       1.8397e+00       -1.6985e-01           3.2138e-01             2.3218e+00              3.1222e-01      4.8207e-01     -1.2542e-01
      2.3700e+03     -1.6066e-01       1.8397e+00       -1.6978e-01           3.2132e-01             2.3217e+00              3.1220e-01      4.8198e-01     -1.2528e-01
      2.3750e+03     -1.6063e-01       1.8397e+00       -1.6971e-01           3.2126e-01             2.3216e+00              3.1218e-01      4.8189e-01     -1.2515e-01
      2.3800e+03     -1.6060e-01       1.8398e+00       -1.6964e-01           3.2120e-01             2.3216e+00              3.1216e-01      4.8180e-01     -1.2502e-01
      2.3850e+03     -1.6057e-01       1.8398e+00       -1.6957e-01           3.2114e-01             2.3215e+00              3.1214e-01      4.8171e-01     -1.2488e-01
      2.3900e+03     -1.6054e-01       1.8398e+00       -1.6950e-01           3.2108e-01             2.3214e+00              3.1212e-01      4.8162e-01     -1.2475e-01
      2.3950e+03     -1.6051e-01       1.8399e+00       -1.6944e-01           3.2102e-01             2.3214e+00              3.1210e-01      4.8153e-01     -1.2462e-01
      2.4000e+03     -1.6048e-01       1.8399e+00       -1.6937e-01           3.2096e-01             2.3213e+00              3.1208e-01      4.8145e-01     -1.2449e-01
      2.4050e+03     -1.6045e-01       1.8399e+00       -1.6930e-01           3.2091e-01             2.3213e+00              3.1206e-01      4.8136e-01     -1.2436e-01
      2.4100e+03     -1.6042e-01       1.8399e+00       -1.6923e-01           3.2085e-01             2.3212e+00              3.1204e-01      4.8127e-01     -1.2423e-01
      2.4150e+03     -1.6040e-01       1.8400e+00       -1.6917e-01           3.2079e-01             2.3211e+00              3.1202e-01      4.8119e-01     -1.2410e-01
      2.4200e+03     -1.6037e-01       1.8400e+00       -1.6910e-01           3.2074e-01             2.3211e+00              3.1200e-01      4.8110e-01     -1.2397e-01
      2.4250e+03     -1.6034e-01       1.8400e+00       -1.6904e-01           3.2068e-01             2.3210e+00              3.1198e-01      4.8102e-01     -1.2384e-01
      2.4300e+03     -1.6031e-01       1.8400e+00       -1.6897e-01           3.2062e-01             2.3210e+00              3.1196e-01      4.8093e-01     -1.2371e-01
      2.4350e+03     -1.6028e-01       1.8401e+00       -1.6891e-01           3.2057e-01             2.3209e+00              3.1194e-01      4.8085e-01     -1.2359e-01
      2.4400e+03     -1.6026e-01       1.8401e+00       -1.6884e-01           3.2051e-01             2.3209e+00              3.1193e-01      4.8077e-01     -1.2346e-01
      2.4450e+03     -1.6023e-01       1.8401e+00       -1.6878e-01           3.2046e-01             2.3208e+00              3.1191e-01      4.8068e-01     -1.2334e-01
      2.4500e+03     -1.6020e-01       1.8401e+00       -1.6871e-01           3.2040e-01             2.3207e+00              3.1189e-01      4.8060e-01     -1.2321e-01
      2.4550e+03     -1.6017e-01       1.8402e+00       -1.6865e-01           3.2035e-01             2.3207e+00              3.1187e-01      4.8052e-01     -1.2309e-01
      2.4600e+03     -1.6015e-01       1.8402e+00       -1.6859e-01           3.2029e-01             2.3206e+00              3.1185e-01      4.8044e-01     -1.2297e-01
      2.4650e+03     -1.6012e-01       1.8402e+00       -1.6853e-01           3.2024e-01             2.3206e+00              3.1183e-01      4.8036e-01     -1.2285e-01
      2.4700e+03     -1.6009e-01       1.8402e+00       -1.6846e-01           3.2018e-01             2.3205e+00              3.1181e-01      4.8028e-01     -1.2272e-01
      2.4750e+03     -1.6007e-01       1.8403e+00       -1.6840e-01           3.2013e-01             2.3205e+00              3.1180e-01      4.8020e-01     -1.2260e-01
      2.4800e+03     -1.6004e-01       1.8403e+00       -1.6834e-01           3.2008e-01             2.3204e+00              3.1178e-01      4.8012e-01     -1.2248e-01
      2.4850e+03     -1.6001e-01       1.8403e+00       -1.6828e-01           3.2003e-01             2.3204e+00              3.1176e-01      4.8004e-01     -1.2236e-01
      2.4900e+03     -1.5999e-01       1.8403e+00       -1.6822e-01           3.1997e-01             2.3203e+00              3.1174e-01      4.7996e-01     -1.2224e-01
      2.4950e+03     -1.5996e-01       1.8404e+00       -1.6816e-01           3.1992e-01             2.3203e+00              3.1172e-01      4.7988e-01     -1.2213e-01
      2.5000e+03     -1.5993e-01       1.8404e+00       -1.6810e-01           3.1987e-01             2.3202e+00              3.1170e-01      4.7980e-01     -1.2201e-01
      2.5050e+03     -1.5991e-01       1.8404e+00       -1.6804e-01           3.1982e-01             2.3201e+00              3.1169e-01      4.7972e-01     -1.2189e-01
      2.5100e+03     -1.5988e-01       1.8404e+00       -1.6798e-01           3.1977e-01             2.3201e+00              3.1167e-01      4.7965e-01     -1.2177e-01
      2.5150e+03     -1.5986e-01       1.8405e+00       -1.6792e-01           3.1971e-01             2.3200e+00              3.1165e-01      4.7957e-01     -1.2166e-01
      2.5200e+03     -1.5983e-01       1.8405e+00       -1.6786e-01           3.1966e-01             2.3200e+00              3.1163e-01      4.7949e-01     -1.2154e-01
      2.5250e+03     -1.5981e-01       1.8405e+00       -1.6780e-01           3.1961e-01             2.3199e+00              3.1162e-01      4.7942e-01     -1.2143e-01
      2.5300e+03     -1.5978e-01       1.8405e+00       -1.6774e-01           3.1956e-01             2.3199e+00              3.1160e-01      4.7934e-01     -1.2131e-01
      2.5350e+03     -1.5976e-01       1.8406e+00       -1.6769e-01           3.1951e-01             2.3198e+00              3.1158e-01      4.7927e-01     -1.2120e-01
      2.5400e+03     -1.5973e-01       1.8406e+00       -1.6763e-01           3.1946e-01             2.3198e+00              3.1156e-01      4.7919e-01     -1.2109e-01
      2.5450e+03     -1.5971e-01       1.8406e+00       -1.6757e-01           3.1941e-01             2.3197e+00              3.1155e-01      4.7912e-01     -1.2098e-01
      2.5500e+03     -1.5968e-01       1.8406e+00       -1.6752e-01           3.1936e-01             2.3197e+00              3.1153e-01      4.7904e-01     -1.2086e-01
      2.5550e+03     -1.5966e-01       1.8407e+00       -1.6746e-01           3.1931e-01             2.3196e+00              3.1151e-01      4.7897e-01     -1.2075e-01
      2.5600e+03     -1.5963e-01       1.8407e+00       -1.6740e-01           3.1926e-01             2.3196e+00              3.1149e-01      4.7890e-01     -1.2064e-01
      2.5650e+03     -1.5961e-01       1.8407e+00       -1.6735e-01           3.1922e-01             2.3195e+00              3.1148e-01      4.7882e-01     -1.2053e-01
      2.5700e+03     -1.5958e-01       1.8407e+00       -1.6729e-01           3.1917e-01             2.3195e+00              3.1146e-01      4.7875e-01     -1.2042e-01
      2.5750e+03     -1.5956e-01       1.8408e+00       -1.6724e-01           3.1912e-01             2.3194e+00              3.1144e-01      4.7868e-01     -1.2031e-01
      2.5800e+03     -1.5954e-01       1.8408e+00       -1.6718e-01           3.1907e-01             2.3194e+00              3.1142e-01      4.7861e-01     -1.2021e-01
      2.5850e+03     -1.5951e-01       1.8408e+00       -1.6713e-01           3.1902e-01             2.3193e+00              3.1141e-01      4.7854e-01     -1.2010e-01
      2.5900e+03     -1.5949e-01       1.8408e+00       -1.6708e-01           3.1898e-01             2.3193e+00              3.1139e-01      4.7847e-01     -1.1999e-01
      2.5950e+03     -1.5947e-01       1.8408e+00       -1.6702e-01           3.1893e-01             2.3192e+00              3.1137e-01      4.7840e-01     -1.1988e-01
      2.6000e+03     -1.5944e-01       1.8409e+00       -1.6697e-01           3.1888e-01             2.3192e+00              3.1136e-01      4.7833e-01     -1.1978e-01
      2.6050e+03     -1.5942e-01       1.8409e+00       -1.6691e-01           3.1884e-01             2.3191e+00              3.1134e-01      4.7826e-01     -1.1967e-01
      2.6100e+03     -1.5940e-01       1.8409e+00       -1.6686e-01           3.1879e-01             2.3191e+00              3.1132e-01      4.7819e-01     -1.1957e-01
      2.6150e+03     -1.5937e-01       1.8409e+00       -1.6681e-01           3.1874e-01             2.3190e+00              3.1131e-01      4.7812e-01     -1.1946e-01
      2.6200e+03     -1.5935e-01       1.8410e+00       -1.6676e-01           3.1870e-01             2.3190e+00              3.1129e-01      4.7805e-01     -1.1936e-01
      2.6250e+03     -1.5933e-01       1.8410e+00       -1.6670e-01           3.1865e-01             2.3190e+00              3.1127e-01      4.7798e-01     -1.1926e-01
      2.6300e+03     -1.5930e-01       1.8410e+00       -1.6665e-01           3.1861e-01             2.3189e+00              3.1126e-01      4.7791e-01     -1.1915e-01
      2.6350e+03     -1.5928e-01       1.8410e+00       -1.6660e-01           3.1856e-01             2.3189e+00              3.1124e-01      4.7784e-01     -1.1905e-01
      2.6400e+03     -1.5926e-01       1.8410e+00       -1.6655e-01           3.1852e-01             2.3188e+00              3.1123e-01      4.7778e-01     -1.1895e-01
      2.6450e+03     -1.5924e-01       1.8411e+00       -1.6650e-01           3.1847e-01             2.3188e+00              3.1121e-01      4.7771e-01     -1.1885e-01
      2.6500e+03     -1.5921e-01       1.8411e+00       -1.6645e-01           3.1843e-01             2.3187e+00              3.1119e-01      4.7764e-01     -1.1875e-01
      2.6550e+03     -1.5919e-01       1.8411e+00       -1.6640e-01           3.1838e-01             2.3187e+00              3.1118e-01      4.7758e-01     -1.1865e-01
      2.6600e+03     -1.5917e-01       1.8411e+00       -1.6635e-01           3.1834e-01             2.3186e+00              3.1116e-01      4.7751e-01     -1.1855e-01
      2.6650e+03     -1.5915e-01       1.8411e+00       -1.6630e-01           3.1830e-01             2.3186e+00              3.1115e-01      4.7744e-01     -1.1845e-01
      2.6700e+03     -1.5913e-01       1.8412e+00       -1.6625e-01           3.1825e-01             2.3185e+00              3.1113e-01      4.7738e-01     -1.1835e-01
      2.6750e+03     -1.5910e-01       1.8412e+00       -1.6620e-01           3.1821e-01             2.3185e+00              3.1111e-01      4.7731e-01     -1.1825e-01
      2.6800e+03     -1.5908e-01       1.8412e+00       -1.6615e-01           3.1817e-01             2.3185e+00              3.1110e-01      4.7725e-01     -1.1815e-01
      2.6850e+03     -1.5906e-01       1.8412e+00       -1.6610e-01           3.1812e-01             2.3184e+00              3.1108e-01      4.7719e-01     -1.1806e-01
      2.6900e+03     -1.5904e-01       1.8412e+00       -1.6606e-01           3.1808e-01             2.3184e+00              3.1107e-01      4.7712e-01     -1.1796e-01
      2.6950e+03     -1.5902e-01       1.8413e+00       -1.6601e-01           3.1804e-01             2.3183e+00              3.1105e-01      4.7706e-01     -1.1786e-01
      2.7000e+03     -1.5900e-01       1.8413e+00       -1.6596e-01           3.1800e-01             2.3183e+00              3.1104e-01      4.7699e-01     -1.1777e-01
      2.7050e+03     -1.5898e-01       1.8413e+00       -1.6591e-01           3.1795e-01             2.3182e+00              3.1102e-01      4.7693e-01     -1.1767e-01
      2.7100e+03     -1.5896e-01       1.8413e+00       -1.6586e-01           3.1791e-01             2.3182e+00              3.1100e-01      4.7687e-01     -1.1758e-01
      2.7150e+03     -1.5894e-01       1.8413e+00       -1.6582e-01           3.1787e-01             2.3182e+00              3.1099e-01      4.7681e-01     -1.1748e-01
      2.7200e+03     -1.5892e-01       1.8414e+00       -1.6577e-01           3.1783e-01             2.3181e+00              3.1097e-01      4.7675e-01     -1.1739e-01
      2.7250e+03     -1.5889e-01       1.8414e+00       -1.6572e-01           3.1779e-01             2.3181e+00              3.1096e-01      4.7668e-01     -1.1730e-01
      2.7300e+03     -1.5887e-01       1.8414e+00       -1.6568e-01           3.1775e-01             2.3180e+00              3.1094e-01      4.7662e-01     -1.1720e-01
      2.7350e+03     -1.5885e-01       1.8414e+00       -1.6563e-01           3.1771e-01             2.3180e+00              3.1093e-01      4.7656e-01     -1.1711e-01
      2.7400e+03     -1.5883e-01       1.8414e+00       -1.6559e-01           3.1767e-01             2.3179e+00              3.1091e-01      4.7650e-01     -1.1702e-01
      2.7450e+03     -1.5881e-01       1.8415e+00       -1.6554e-01           3.1763e-01             2.3179e+00              3.1090e-01      4.7644e-01     -1.1693e-01
      2.7500e+03     -1.5879e-01       1.8415e+00       -1.6550e-01           3.1759e-01             2.3179e+00              3.1088e-01      4.7638e-01     -1.1684e-01
