#        T (MeV)     d\mu_e/dL_e   d\mu_\mu/dL_e  d\mu_\tau/dL_e  d\mu_{\nu_e}/dL_e   d\mu_{\nu_\mu}/dL_e  d\mu_{\nu_\tau}/dL_e     d\mu_Q/dL_e     d\mu_B/dL_e in units of T^-2
      2.6300e+03      1.8407e+00     -1.5934e-01     -1.6667e-01         2.3186e+00            3.1861e-01            3.1128e-01      4.7795e-01     -1.1916e-01
      2.6350e+03      1.8407e+00     -1.5932e-01     -1.6662e-01         2.3186e+00            3.1856e-01            3.1127e-01      4.7788e-01     -1.1906e-01
      2.6400e+03      1.8407e+00     -1.5930e-01     -1.6656e-01         2.3185e+00            3.1852e-01            3.1125e-01      4.7782e-01     -1.1896e-01
      2.6450e+03      1.8408e+00     -1.5928e-01     -1.6651e-01         2.3185e+00            3.1847e-01            3.1123e-01      4.7775e-01     -1.1886e-01
      2.6500e+03      1.8408e+00     -1.5925e-01     -1.6646e-01         2.3185e+00            3.1843e-01            3.1122e-01      4.7768e-01     -1.1876e-01
      2.6550e+03      1.8408e+00     -1.5923e-01     -1.6641e-01         2.3184e+00            3.1838e-01            3.1120e-01      4.7761e-01     -1.1866e-01
      2.6600e+03      1.8408e+00     -1.5921e-01     -1.6636e-01         2.3184e+00            3.1834e-01            3.1119e-01      4.7755e-01     -1.1856e-01
      2.6650e+03      1.8408e+00     -1.5919e-01     -1.6631e-01         2.3183e+00            3.1830e-01            3.1117e-01      4.7748e-01     -1.1846e-01
      2.6700e+03      1.8409e+00     -1.5916e-01     -1.6626e-01         2.3183e+00            3.1825e-01            3.1115e-01      4.7742e-01     -1.1836e-01
      2.6750e+03      1.8409e+00     -1.5914e-01     -1.6621e-01         2.3182e+00            3.1821e-01            3.1114e-01      4.7735e-01     -1.1826e-01
      2.6800e+03      1.8409e+00     -1.5912e-01     -1.6617e-01         2.3182e+00            3.1817e-01            3.1112e-01      4.7729e-01     -1.1816e-01
      2.6850e+03      1.8409e+00     -1.5910e-01     -1.6612e-01         2.3181e+00            3.1812e-01            3.1111e-01      4.7722e-01     -1.1806e-01
      2.6900e+03      1.8409e+00     -1.5908e-01     -1.6607e-01         2.3181e+00            3.1808e-01            3.1109e-01      4.7716e-01     -1.1797e-01
      2.6950e+03      1.8410e+00     -1.5906e-01     -1.6602e-01         2.3181e+00            3.1804e-01            3.1108e-01      4.7710e-01     -1.1787e-01
      2.7000e+03      1.8410e+00     -1.5904e-01     -1.6597e-01         2.3180e+00            3.1800e-01            3.1106e-01      4.7703e-01     -1.1778e-01
      2.7050e+03      1.8410e+00     -1.5901e-01     -1.6592e-01         2.3180e+00            3.1795e-01            3.1104e-01      4.7697e-01     -1.1768e-01
      2.7100e+03      1.8410e+00     -1.5899e-01     -1.6588e-01         2.3179e+00            3.1791e-01            3.1103e-01      4.7691e-01     -1.1759e-01
      2.7150e+03      1.8411e+00     -1.5897e-01     -1.6583e-01         2.3179e+00            3.1787e-01            3.1101e-01      4.7684e-01     -1.1749e-01
      2.7200e+03      1.8411e+00     -1.5895e-01     -1.6578e-01         2.3179e+00            3.1783e-01            3.1100e-01      4.7678e-01     -1.1740e-01
      2.7250e+03      1.8411e+00     -1.5893e-01     -1.6574e-01         2.3178e+00            3.1779e-01            3.1098e-01      4.7672e-01     -1.1730e-01
      2.7300e+03      1.8411e+00     -1.5891e-01     -1.6569e-01         2.3178e+00            3.1775e-01            3.1097e-01      4.7666e-01     -1.1721e-01
      2.7350e+03      1.8411e+00     -1.5889e-01     -1.6564e-01         2.3177e+00            3.1771e-01            3.1095e-01      4.7660e-01     -1.1712e-01
      2.7400e+03      1.8412e+00     -1.5887e-01     -1.6560e-01         2.3177e+00            3.1767e-01            3.1094e-01      4.7654e-01     -1.1703e-01
      2.7450e+03      1.8412e+00     -1.5885e-01     -1.6555e-01         2.3177e+00            3.1763e-01            3.1092e-01      4.7648e-01     -1.1694e-01
      2.7500e+03      1.8412e+00     -1.5883e-01     -1.6551e-01         2.3176e+00            3.1759e-01            3.1091e-01      4.7642e-01     -1.1685e-01
      2.7550e+03      1.8412e+00     -1.5881e-01     -1.6546e-01         2.3176e+00            3.1755e-01            3.1089e-01      4.7636e-01     -1.1676e-01
      2.7600e+03      1.8412e+00     -1.5879e-01     -1.6542e-01         2.3175e+00            3.1751e-01            3.1088e-01      4.7630e-01     -1.1667e-01
      2.7650e+03      1.8413e+00     -1.5877e-01     -1.6537e-01         2.3175e+00            3.1747e-01            3.1086e-01      4.7624e-01     -1.1658e-01
      2.7700e+03      1.8413e+00     -1.5875e-01     -1.6533e-01         2.3175e+00            3.1743e-01            3.1085e-01      4.7618e-01     -1.1649e-01
      2.7750e+03      1.8413e+00     -1.5873e-01     -1.6528e-01         2.3174e+00            3.1739e-01            3.1083e-01      4.7612e-01     -1.1640e-01
      2.7800e+03      1.8413e+00     -1.5871e-01     -1.6524e-01         2.3174e+00            3.1735e-01            3.1082e-01      4.7606e-01     -1.1631e-01
      2.7850e+03      1.8413e+00     -1.5869e-01     -1.6520e-01         2.3173e+00            3.1731e-01            3.1080e-01      4.7600e-01     -1.1622e-01
      2.7900e+03      1.8414e+00     -1.5867e-01     -1.6515e-01         2.3173e+00            3.1727e-01            3.1079e-01      4.7594e-01     -1.1614e-01
      2.7950e+03      1.8414e+00     -1.5865e-01     -1.6511e-01         2.3173e+00            3.1723e-01            3.1078e-01      4.7589e-01     -1.1605e-01
      2.8000e+03      1.8414e+00     -1.5863e-01     -1.6507e-01         2.3172e+00            3.1720e-01            3.1076e-01      4.7583e-01     -1.1596e-01
      2.8050e+03      1.8414e+00     -1.5861e-01     -1.6502e-01         2.3172e+00            3.1716e-01            3.1075e-01      4.7577e-01     -1.1588e-01
      2.8100e+03      1.8414e+00     -1.5859e-01     -1.6498e-01         2.3171e+00            3.1712e-01            3.1073e-01      4.7571e-01     -1.1579e-01
      2.8150e+03      1.8414e+00     -1.5858e-01     -1.6494e-01         2.3171e+00            3.1708e-01            3.1072e-01      4.7566e-01     -1.1571e-01
      2.8200e+03      1.8415e+00     -1.5856e-01     -1.6490e-01         2.3171e+00            3.1705e-01            3.1070e-01      4.7560e-01     -1.1562e-01
      2.8250e+03      1.8415e+00     -1.5854e-01     -1.6486e-01         2.3170e+00            3.1701e-01            3.1069e-01      4.7555e-01     -1.1554e-01
      2.8300e+03      1.8415e+00     -1.5852e-01     -1.6481e-01         2.3170e+00            3.1697e-01            3.1068e-01      4.7549e-01     -1.1545e-01
      2.8350e+03      1.8415e+00     -1.5850e-01     -1.6477e-01         2.3170e+00            3.1693e-01            3.1066e-01      4.7543e-01     -1.1537e-01
      2.8400e+03      1.8415e+00     -1.5848e-01     -1.6473e-01         2.3169e+00            3.1690e-01            3.1065e-01      4.7538e-01     -1.1529e-01
      2.8450e+03      1.8416e+00     -1.5846e-01     -1.6469e-01         2.3169e+00            3.1686e-01            3.1063e-01      4.7532e-01     -1.1520e-01
      2.8500e+03      1.8416e+00     -1.5845e-01     -1.6465e-01         2.3168e+00            3.1682e-01            3.1062e-01      4.7527e-01     -1.1512e-01
      2.8550e+03      1.8416e+00     -1.5843e-01     -1.6461e-01         2.3168e+00            3.1679e-01            3.1061e-01      4.7522e-01     -1.1504e-01
      2.8600e+03      1.8416e+00     -1.5841e-01     -1.6457e-01         2.3168e+00            3.1675e-01            3.1059e-01      4.7516e-01     -1.1496e-01
      2.8650e+03      1.8416e+00     -1.5839e-01     -1.6453e-01         2.3167e+00            3.1672e-01            3.1058e-01      4.7511e-01     -1.1488e-01
      2.8700e+03      1.8416e+00     -1.5837e-01     -1.6449e-01         2.3167e+00            3.1668e-01            3.1056e-01      4.7505e-01     -1.1480e-01
      2.8750e+03      1.8417e+00     -1.5836e-01     -1.6445e-01         2.3167e+00            3.1665e-01            3.1055e-01      4.7500e-01     -1.1472e-01
      2.8800e+03      1.8417e+00     -1.5834e-01     -1.6441e-01         2.3166e+00            3.1661e-01            3.1054e-01      4.7495e-01     -1.1464e-01
      2.8850e+03      1.8417e+00     -1.5832e-01     -1.6437e-01         2.3166e+00            3.1657e-01            3.1052e-01      4.7489e-01     -1.1456e-01
      2.8900e+03      1.8417e+00     -1.5830e-01     -1.6433e-01         2.3166e+00            3.1654e-01            3.1051e-01      4.7484e-01     -1.1448e-01
      2.8950e+03      1.8417e+00     -1.5828e-01     -1.6429e-01         2.3165e+00            3.1650e-01            3.1050e-01      4.7479e-01     -1.1440e-01
      2.9000e+03      1.8418e+00     -1.5827e-01     -1.6425e-01         2.3165e+00            3.1647e-01            3.1048e-01      4.7474e-01     -1.1432e-01
      2.9050e+03      1.8418e+00     -1.5825e-01     -1.6421e-01         2.3165e+00            3.1644e-01            3.1047e-01      4.7469e-01     -1.1424e-01
      2.9100e+03      1.8418e+00     -1.5823e-01     -1.6418e-01         2.3164e+00            3.1640e-01            3.1046e-01      4.7463e-01     -1.1416e-01
      2.9150e+03      1.8418e+00     -1.5822e-01     -1.6414e-01         2.3164e+00            3.1637e-01            3.1044e-01      4.7458e-01     -1.1409e-01
      2.9200e+03      1.8418e+00     -1.5820e-01     -1.6410e-01         2.3164e+00            3.1633e-01            3.1043e-01      4.7453e-01     -1.1401e-01
      2.9250e+03      1.8418e+00     -1.5818e-01     -1.6406e-01         2.3163e+00            3.1630e-01            3.1042e-01      4.7448e-01     -1.1393e-01
      2.9300e+03      1.8419e+00     -1.5816e-01     -1.6402e-01         2.3163e+00            3.1627e-01            3.1040e-01      4.7443e-01     -1.1386e-01
      2.9350e+03      1.8419e+00     -1.5815e-01     -1.6399e-01         2.3163e+00            3.1623e-01            3.1039e-01      4.7438e-01     -1.1378e-01
      2.9400e+03      1.8419e+00     -1.5813e-01     -1.6395e-01         2.3162e+00            3.1620e-01            3.1038e-01      4.7433e-01     -1.1371e-01
      2.9450e+03      1.8419e+00     -1.5811e-01     -1.6391e-01         2.3162e+00            3.1617e-01            3.1037e-01      4.7428e-01     -1.1363e-01
      2.9500e+03      1.8419e+00     -1.5810e-01     -1.6388e-01         2.3162e+00            3.1613e-01            3.1035e-01      4.7423e-01     -1.1356e-01
      2.9550e+03      1.8419e+00     -1.5808e-01     -1.6384e-01         2.3161e+00            3.1610e-01            3.1034e-01      4.7418e-01     -1.1348e-01
      2.9600e+03      1.8420e+00     -1.5806e-01     -1.6380e-01         2.3161e+00            3.1607e-01            3.1033e-01      4.7413e-01     -1.1341e-01
      2.9650e+03      1.8420e+00     -1.5805e-01     -1.6377e-01         2.3161e+00            3.1603e-01            3.1031e-01      4.7408e-01     -1.1333e-01
      2.9700e+03      1.8420e+00     -1.5803e-01     -1.6373e-01         2.3160e+00            3.1600e-01            3.1030e-01      4.7403e-01     -1.1326e-01
      2.9750e+03      1.8420e+00     -1.5801e-01     -1.6369e-01         2.3160e+00            3.1597e-01            3.1029e-01      4.7398e-01     -1.1319e-01
      2.9800e+03      1.8420e+00     -1.5800e-01     -1.6366e-01         2.3160e+00            3.1594e-01            3.1028e-01      4.7394e-01     -1.1312e-01
      2.9850e+03      1.8420e+00     -1.5798e-01     -1.6362e-01         2.3159e+00            3.1591e-01            3.1026e-01      4.7389e-01     -1.1304e-01
      2.9900e+03      1.8421e+00     -1.5797e-01     -1.6359e-01         2.3159e+00            3.1587e-01            3.1025e-01      4.7384e-01     -1.1297e-01
      2.9950e+03      1.8421e+00     -1.5795e-01     -1.6355e-01         2.3159e+00            3.1584e-01            3.1024e-01      4.7379e-01     -1.1290e-01
      3.0000e+03      1.8421e+00     -1.5793e-01     -1.6352e-01         2.3158e+00            3.1581e-01            3.1023e-01      4.7374e-01     -1.1283e-01
      3.0050e+03      1.8421e+00     -1.5792e-01     -1.6348e-01         2.3158e+00            3.1578e-01            3.1021e-01      4.7370e-01     -1.1276e-01
      3.0100e+03      1.8421e+00     -1.5790e-01     -1.6345e-01         2.3158e+00            3.1575e-01            3.1020e-01      4.7365e-01     -1.1269e-01
      3.0150e+03      1.8421e+00     -1.5789e-01     -1.6341e-01         2.3157e+00            3.1572e-01            3.1019e-01      4.7360e-01     -1.1262e-01
      3.0200e+03      1.8421e+00     -1.5787e-01     -1.6338e-01         2.3157e+00            3.1569e-01            3.1018e-01      4.7356e-01     -1.1255e-01
      3.0250e+03      1.8422e+00     -1.5786e-01     -1.6334e-01         2.3157e+00            3.1565e-01            3.1017e-01      4.7351e-01     -1.1248e-01
      3.0300e+03      1.8422e+00     -1.5784e-01     -1.6331e-01         2.3156e+00            3.1562e-01            3.1015e-01      4.7346e-01     -1.1241e-01
      3.0350e+03      1.8422e+00     -1.5783e-01     -1.6328e-01         2.3156e+00            3.1559e-01            3.1014e-01      4.7342e-01     -1.1234e-01
      3.0400e+03      1.8422e+00     -1.5781e-01     -1.6324e-01         2.3156e+00            3.1556e-01            3.1013e-01      4.7337e-01     -1.1227e-01
      3.0450e+03      1.8422e+00     -1.5779e-01     -1.6321e-01         2.3156e+00            3.1553e-01            3.1012e-01      4.7333e-01     -1.1220e-01
      3.0500e+03      1.8422e+00     -1.5778e-01     -1.6318e-01         2.3155e+00            3.1550e-01            3.1011e-01      4.7328e-01     -1.1213e-01
      3.0550e+03      1.8423e+00     -1.5776e-01     -1.6314e-01         2.3155e+00            3.1547e-01            3.1009e-01      4.7324e-01     -1.1207e-01
      3.0600e+03      1.8423e+00     -1.5775e-01     -1.6311e-01         2.3155e+00            3.1544e-01            3.1008e-01      4.7319e-01     -1.1200e-01
      3.0650e+03      1.8423e+00     -1.5773e-01     -1.6308e-01         2.3154e+00            3.1541e-01            3.1007e-01      4.7315e-01     -1.1193e-01
      3.0700e+03      1.8423e+00     -1.5772e-01     -1.6304e-01         2.3154e+00            3.1538e-01            3.1006e-01      4.7310e-01     -1.1186e-01
      3.0750e+03      1.8423e+00     -1.5770e-01     -1.6301e-01         2.3154e+00            3.1535e-01            3.1005e-01      4.7306e-01     -1.1180e-01
      3.0800e+03      1.8423e+00     -1.5769e-01     -1.6298e-01         2.3153e+00            3.1532e-01            3.1003e-01      4.7301e-01     -1.1173e-01
      3.0850e+03      1.8423e+00     -1.5768e-01     -1.6295e-01         2.3153e+00            3.1529e-01            3.1002e-01      4.7297e-01     -1.1167e-01
      3.0900e+03      1.8424e+00     -1.5766e-01     -1.6291e-01         2.3153e+00            3.1527e-01            3.1001e-01      4.7293e-01     -1.1160e-01
      3.0950e+03      1.8424e+00     -1.5765e-01     -1.6288e-01         2.3153e+00            3.1524e-01            3.1000e-01      4.7288e-01     -1.1154e-01
      3.1000e+03      1.8424e+00     -1.5763e-01     -1.6285e-01         2.3152e+00            3.1521e-01            3.0999e-01      4.7284e-01     -1.1147e-01
      3.1050e+03      1.8424e+00     -1.5762e-01     -1.6282e-01         2.3152e+00            3.1518e-01            3.0998e-01      4.7280e-01     -1.1141e-01
      3.1100e+03      1.8424e+00     -1.5760e-01     -1.6279e-01         2.3152e+00            3.1515e-01            3.0997e-01      4.7275e-01     -1.1134e-01
      3.1150e+03      1.8424e+00     -1.5759e-01     -1.6276e-01         2.3151e+00            3.1512e-01            3.0995e-01      4.7271e-01     -1.1128e-01
      3.1200e+03      1.8424e+00     -1.5757e-01     -1.6272e-01         2.3151e+00            3.1509e-01            3.0994e-01      4.7267e-01     -1.1121e-01
      3.1250e+03      1.8425e+00     -1.5756e-01     -1.6269e-01         2.3151e+00            3.1506e-01            3.0993e-01      4.7262e-01     -1.1115e-01
      3.1300e+03      1.8425e+00     -1.5755e-01     -1.6266e-01         2.3151e+00            3.1504e-01            3.0992e-01      4.7258e-01     -1.1109e-01
      3.1350e+03      1.8425e+00     -1.5753e-01     -1.6263e-01         2.3150e+00            3.1501e-01            3.0991e-01      4.7254e-01     -1.1102e-01
      3.1400e+03      1.8425e+00     -1.5752e-01     -1.6260e-01         2.3150e+00            3.1498e-01            3.0990e-01      4.7250e-01     -1.1096e-01
      3.1450e+03      1.8425e+00     -1.5750e-01     -1.6257e-01         2.3150e+00            3.1495e-01            3.0989e-01      4.7246e-01     -1.1090e-01
      3.1500e+03      1.8425e+00     -1.5749e-01     -1.6254e-01         2.3149e+00            3.1493e-01            3.0988e-01      4.7242e-01     -1.1084e-01
      3.1550e+03      1.8425e+00     -1.5748e-01     -1.6251e-01         2.3149e+00            3.1490e-01            3.0986e-01      4.7237e-01     -1.1078e-01
      3.1600e+03      1.8426e+00     -1.5746e-01     -1.6248e-01         2.3149e+00            3.1487e-01            3.0985e-01      4.7233e-01     -1.1072e-01
      3.1650e+03      1.8426e+00     -1.5745e-01     -1.6245e-01         2.3149e+00            3.1484e-01            3.0984e-01      4.7229e-01     -1.1065e-01
      3.1700e+03      1.8426e+00     -1.5743e-01     -1.6242e-01         2.3148e+00            3.1482e-01            3.0983e-01      4.7225e-01     -1.1059e-01
      3.1750e+03      1.8426e+00     -1.5742e-01     -1.6239e-01         2.3148e+00            3.1479e-01            3.0982e-01      4.7221e-01     -1.1053e-01
      3.1800e+03      1.8426e+00     -1.5741e-01     -1.6236e-01         2.3148e+00            3.1476e-01            3.0981e-01      4.7217e-01     -1.1047e-01
      3.1850e+03      1.8426e+00     -1.5739e-01     -1.6233e-01         2.3148e+00            3.1474e-01            3.0980e-01      4.7213e-01     -1.1041e-01
      3.1900e+03      1.8426e+00     -1.5738e-01     -1.6230e-01         2.3147e+00            3.1471e-01            3.0979e-01      4.7209e-01     -1.1035e-01
      3.1950e+03      1.8426e+00     -1.5737e-01     -1.6227e-01         2.3147e+00            3.1468e-01            3.0978e-01      4.7205e-01     -1.1029e-01
      3.2000e+03      1.8427e+00     -1.5735e-01     -1.6224e-01         2.3147e+00            3.1466e-01            3.0977e-01      4.7201e-01     -1.1023e-01
      3.2050e+03      1.8427e+00     -1.5734e-01     -1.6222e-01         2.3146e+00            3.1463e-01            3.0976e-01      4.7197e-01     -1.1018e-01
      3.2100e+03      1.8427e+00     -1.5733e-01     -1.6219e-01         2.3146e+00            3.1460e-01            3.0974e-01      4.7193e-01     -1.1012e-01
      3.2150e+03      1.8427e+00     -1.5731e-01     -1.6216e-01         2.3146e+00            3.1458e-01            3.0973e-01      4.7189e-01     -1.1006e-01
      3.2200e+03      1.8427e+00     -1.5730e-01     -1.6213e-01         2.3146e+00            3.1455e-01            3.0972e-01      4.7185e-01     -1.1000e-01
      3.2250e+03      1.8427e+00     -1.5729e-01     -1.6210e-01         2.3145e+00            3.1453e-01            3.0971e-01      4.7181e-01     -1.0994e-01
      3.2300e+03      1.8427e+00     -1.5728e-01     -1.6207e-01         2.3145e+00            3.1450e-01            3.0970e-01      4.7178e-01     -1.0988e-01
      3.2350e+03      1.8428e+00     -1.5726e-01     -1.6205e-01         2.3145e+00            3.1447e-01            3.0969e-01      4.7174e-01     -1.0983e-01
      3.2400e+03      1.8428e+00     -1.5725e-01     -1.6202e-01         2.3145e+00            3.1445e-01            3.0968e-01      4.7170e-01     -1.0977e-01
      3.2450e+03      1.8428e+00     -1.5724e-01     -1.6199e-01         2.3144e+00            3.1442e-01            3.0967e-01      4.7166e-01     -1.0971e-01
      3.2500e+03      1.8428e+00     -1.5722e-01     -1.6196e-01         2.3144e+00            3.1440e-01            3.0966e-01      4.7162e-01     -1.0966e-01
      3.2550e+03      1.8428e+00     -1.5721e-01     -1.6193e-01         2.3144e+00            3.1437e-01            3.0965e-01      4.7158e-01     -1.0960e-01
      3.2600e+03      1.8428e+00     -1.5720e-01     -1.6191e-01         2.3144e+00            3.1435e-01            3.0964e-01      4.7155e-01     -1.0954e-01
      3.2650e+03      1.8428e+00     -1.5719e-01     -1.6188e-01         2.3143e+00            3.1432e-01            3.0963e-01      4.7151e-01     -1.0949e-01
      3.2700e+03      1.8428e+00     -1.5717e-01     -1.6185e-01         2.3143e+00            3.1430e-01            3.0962e-01      4.7147e-01     -1.0943e-01
      3.2750e+03      1.8429e+00     -1.5716e-01     -1.6182e-01         2.3143e+00            3.1427e-01            3.0961e-01      4.7143e-01     -1.0938e-01
      3.2800e+03      1.8429e+00     -1.5715e-01     -1.6180e-01         2.3143e+00            3.1425e-01            3.0960e-01      4.7140e-01     -1.0932e-01
      3.2850e+03      1.8429e+00     -1.5714e-01     -1.6177e-01         2.3142e+00            3.1422e-01            3.0959e-01      4.7136e-01     -1.0927e-01
      3.2900e+03      1.8429e+00     -1.5712e-01     -1.6174e-01         2.3142e+00            3.1420e-01            3.0958e-01      4.7132e-01     -1.0921e-01
      3.2950e+03      1.8429e+00     -1.5711e-01     -1.6172e-01         2.3142e+00            3.1417e-01            3.0957e-01      4.7129e-01     -1.0916e-01
      3.3000e+03      1.8429e+00     -1.5710e-01     -1.6169e-01         2.3142e+00            3.1415e-01            3.0956e-01      4.7125e-01     -1.0910e-01
      3.3050e+03      1.8429e+00     -1.5709e-01     -1.6166e-01         2.3141e+00            3.1413e-01            3.0955e-01      4.7121e-01     -1.0905e-01
      3.3100e+03      1.8429e+00     -1.5708e-01     -1.6164e-01         2.3141e+00            3.1410e-01            3.0954e-01      4.7118e-01     -1.0900e-01
      3.3150e+03      1.8430e+00     -1.5706e-01     -1.6161e-01         2.3141e+00            3.1408e-01            3.0953e-01      4.7114e-01     -1.0894e-01
      3.3200e+03      1.8430e+00     -1.5705e-01     -1.6159e-01         2.3141e+00            3.1405e-01            3.0952e-01      4.7111e-01     -1.0889e-01
      3.3250e+03      1.8430e+00     -1.5704e-01     -1.6156e-01         2.3140e+00            3.1403e-01            3.0951e-01      4.7107e-01     -1.0884e-01
      3.3300e+03      1.8430e+00     -1.5703e-01     -1.6153e-01         2.3140e+00            3.1401e-01            3.0950e-01      4.7103e-01     -1.0878e-01
      3.3350e+03      1.8430e+00     -1.5702e-01     -1.6151e-01         2.3140e+00            3.1398e-01            3.0949e-01      4.7100e-01     -1.0873e-01
      3.3400e+03      1.8430e+00     -1.5700e-01     -1.6148e-01         2.3140e+00            3.1396e-01            3.0948e-01      4.7096e-01     -1.0868e-01
      3.3450e+03      1.8430e+00     -1.5699e-01     -1.6146e-01         2.3140e+00            3.1394e-01            3.0947e-01      4.7093e-01     -1.0863e-01
      3.3500e+03      1.8430e+00     -1.5698e-01     -1.6143e-01         2.3139e+00            3.1391e-01            3.0946e-01      4.7089e-01     -1.0858e-01
      3.3550e+03      1.8430e+00     -1.5697e-01     -1.6141e-01         2.3139e+00            3.1389e-01            3.0945e-01      4.7086e-01     -1.0852e-01
      3.3600e+03      1.8431e+00     -1.5696e-01     -1.6138e-01         2.3139e+00            3.1387e-01            3.0944e-01      4.7082e-01     -1.0847e-01
      3.3650e+03      1.8431e+00     -1.5695e-01     -1.6136e-01         2.3139e+00            3.1384e-01            3.0943e-01      4.7079e-01     -1.0842e-01
      3.3700e+03      1.8431e+00     -1.5693e-01     -1.6133e-01         2.3138e+00            3.1382e-01            3.0942e-01      4.7076e-01     -1.0837e-01
      3.3750e+03      1.8431e+00     -1.5692e-01     -1.6131e-01         2.3138e+00            3.1380e-01            3.0941e-01      4.7072e-01     -1.0832e-01
      3.3800e+03      1.8431e+00     -1.5691e-01     -1.6128e-01         2.3138e+00            3.1378e-01            3.0940e-01      4.7069e-01     -1.0827e-01
      3.3850e+03      1.8431e+00     -1.5690e-01     -1.6126e-01         2.3138e+00            3.1375e-01            3.0939e-01      4.7065e-01     -1.0822e-01
      3.3900e+03      1.8431e+00     -1.5689e-01     -1.6123e-01         2.3137e+00            3.1373e-01            3.0939e-01      4.7062e-01     -1.0817e-01
      3.3950e+03      1.8431e+00     -1.5688e-01     -1.6121e-01         2.3137e+00            3.1371e-01            3.0938e-01      4.7058e-01     -1.0812e-01
      3.4000e+03      1.8431e+00     -1.5687e-01     -1.6119e-01         2.3137e+00            3.1369e-01            3.0937e-01      4.7055e-01     -1.0807e-01
      3.4050e+03      1.8432e+00     -1.5685e-01     -1.6116e-01         2.3137e+00            3.1366e-01            3.0936e-01      4.7052e-01     -1.0802e-01
      3.4100e+03      1.8432e+00     -1.5684e-01     -1.6114e-01         2.3137e+00            3.1364e-01            3.0935e-01      4.7048e-01     -1.0797e-01
      3.4150e+03      1.8432e+00     -1.5683e-01     -1.6111e-01         2.3136e+00            3.1362e-01            3.0934e-01      4.7045e-01     -1.0792e-01
      3.4200e+03      1.8432e+00     -1.5682e-01     -1.6109e-01         2.3136e+00            3.1360e-01            3.0933e-01      4.7042e-01     -1.0787e-01
      3.4250e+03      1.8432e+00     -1.5681e-01     -1.6107e-01         2.3136e+00            3.1357e-01            3.0932e-01      4.7039e-01     -1.0782e-01
      3.4300e+03      1.8432e+00     -1.5680e-01     -1.6104e-01         2.3136e+00            3.1355e-01            3.0931e-01      4.7035e-01     -1.0778e-01
      3.4350e+03      1.8432e+00     -1.5679e-01     -1.6102e-01         2.3135e+00            3.1353e-01            3.0930e-01      4.7032e-01     -1.0773e-01
      3.4400e+03      1.8432e+00     -1.5678e-01     -1.6099e-01         2.3135e+00            3.1351e-01            3.0929e-01      4.7029e-01     -1.0768e-01
      3.4450e+03      1.8432e+00     -1.5677e-01     -1.6097e-01         2.3135e+00            3.1349e-01            3.0928e-01      4.7025e-01     -1.0763e-01
      3.4500e+03      1.8433e+00     -1.5676e-01     -1.6095e-01         2.3135e+00            3.1347e-01            3.0927e-01      4.7022e-01     -1.0758e-01
      3.4550e+03      1.8433e+00     -1.5674e-01     -1.6092e-01         2.3135e+00            3.1345e-01            3.0927e-01      4.7019e-01     -1.0754e-01
      3.4600e+03      1.8433e+00     -1.5673e-01     -1.6090e-01         2.3134e+00            3.1342e-01            3.0926e-01      4.7016e-01     -1.0749e-01
      3.4650e+03      1.8433e+00     -1.5672e-01     -1.6088e-01         2.3134e+00            3.1340e-01            3.0925e-01      4.7013e-01     -1.0744e-01
      3.4700e+03      1.8433e+00     -1.5671e-01     -1.6086e-01         2.3134e+00            3.1338e-01            3.0924e-01      4.7009e-01     -1.0740e-01
      3.4750e+03      1.8433e+00     -1.5670e-01     -1.6083e-01         2.3134e+00            3.1336e-01            3.0923e-01      4.7006e-01     -1.0735e-01
      3.4800e+03      1.8433e+00     -1.5669e-01     -1.6081e-01         2.3134e+00            3.1334e-01            3.0922e-01      4.7003e-01     -1.0730e-01
      3.4850e+03      1.8433e+00     -1.5668e-01     -1.6079e-01         2.3133e+00            3.1332e-01            3.0921e-01      4.7000e-01     -1.0726e-01
      3.4900e+03      1.8433e+00     -1.5667e-01     -1.6077e-01         2.3133e+00            3.1330e-01            3.0920e-01      4.6997e-01     -1.0721e-01
      3.4950e+03      1.8434e+00     -1.5666e-01     -1.6074e-01         2.3133e+00            3.1328e-01            3.0919e-01      4.6994e-01     -1.0717e-01
      3.5000e+03      1.8434e+00     -1.5665e-01     -1.6072e-01         2.3133e+00            3.1326e-01            3.0919e-01      4.6991e-01     -1.0712e-01
      3.5050e+03      1.8434e+00     -1.5664e-01     -1.6070e-01         2.3133e+00            3.1324e-01            3.0918e-01      4.6988e-01     -1.0707e-01
      3.5100e+03      1.8434e+00     -1.5663e-01     -1.6068e-01         2.3132e+00            3.1322e-01            3.0917e-01      4.6984e-01     -1.0703e-01
      3.5150e+03      1.8434e+00     -1.5662e-01     -1.6065e-01         2.3132e+00            3.1319e-01            3.0916e-01      4.6981e-01     -1.0698e-01
      3.5200e+03      1.8434e+00     -1.5661e-01     -1.6063e-01         2.3132e+00            3.1317e-01            3.0915e-01      4.6978e-01     -1.0694e-01
      3.5250e+03      1.8434e+00     -1.5660e-01     -1.6061e-01         2.3132e+00            3.1315e-01            3.0914e-01      4.6975e-01     -1.0689e-01
      3.5300e+03      1.8434e+00     -1.5659e-01     -1.6059e-01         2.3131e+00            3.1313e-01            3.0913e-01      4.6972e-01     -1.0685e-01
      3.5350e+03      1.8434e+00     -1.5658e-01     -1.6057e-01         2.3131e+00            3.1311e-01            3.0913e-01      4.6969e-01     -1.0681e-01
