!                T (MeV)                 t (sec)               ln(a/a_i)               L/n_gamma          \Omega_wdm h^2
  1.3219411484660293E+03  1.5694182073149520E-07  2.0491760159593979E+00  1.1292436623387069E-02  2.1770210855500630E-08
  1.2328467394420663E+03  1.8131485393745300E-07  2.1219923481580292E+00  1.1189883282061103E-02  2.8107285143942572E-08
  1.1497569953977361E+03  2.0957514354360103E-07  2.1951129120850932E+00  1.1078145697134908E-02  3.5058230583014302E-08
  1.0722672220103236E+03  2.4236468130984729E-07  2.2685544746119697E+00  1.0956967279658645E-02  4.2360207694284716E-08
  1.0000000000000003E+03  2.8043475669692391E-07  2.3423316406827168E+00  1.0826208942946482E-02  4.9808713647447875E-08
  9.3260334688322018E+02  3.2466495288942754E-07  2.4164568497325485E+00  1.0685847823775043E-02  5.7369365101635903E-08
  8.6974900261778362E+02  3.7608468298721336E-07  2.4909393050784385E+00  1.0536008577465976E-02  6.5276712186700882E-08
  8.1113083078968737E+02  4.3589855941595649E-07  2.5657846886832858E+00  1.0376965975085630E-02  7.4096998491507105E-08
  7.5646332755462913E+02  5.0551579226562569E-07  2.6409948581559899E+00  1.0209145563182328E-02  8.5518950038089805E-08
  7.0548023107186452E+02  5.8658400606423255E-07  2.7165674268596303E+00  1.0033125257416835E-02  1.0245960338094507E-07
  6.5793322465756819E+02  6.8102810702406518E-07  2.7924954152033594E+00  9.8496318806936267E-03  1.2859004939806282E-07
  6.1359072734131746E+02  7.9109481470124605E-07  2.8687670160360739E+00  9.6595317198624343E-03  1.7101651348210819E-07
  5.7223676593502194E+02  9.1940328829890237E-07  2.9453653817918379E+00  9.4638184050141773E-03  2.4632967610727487E-07
  5.3366992312063121E+02  1.0690024202807609E-06  3.0222685237684277E+00  9.2635960748960536E-03  3.8751889006693754E-07
  4.9770235643321132E+02  1.2434353744409306E-06  3.0994493953556903E+00  9.0600566532879588E-03  6.6684075842862213E-07
  4.6415888336127813E+02  1.4468128207384211E-06  3.1768765270508110E+00  8.8544424753647585E-03  1.2661313431157275E-06
  4.3287612810830609E+02  1.6838967530225790E-06  3.2545153531835145E+00  8.6479941957106048E-03  2.5333026676101229E-06
  4.0370172585965571E+02  1.9601878175719430E-06  3.3323277380344778E+00  8.4419476723325351E-03  5.3205673059159668E-06
  3.7649358067924703E+02  2.2821077710517703E-06  3.4102919350069123E+00  8.2370211172108215E-03  1.1787105991859286E-05
  3.5111917342151332E+02  2.6570401293787147E-06  3.4883778258925449E+00  8.0340569908966507E-03  2.5970412001295531E-05
  3.2745491628777302E+02  3.0936677324106843E-06  3.5665867678038339E+00  7.8330079745639845E-03  5.9162572554645473E-05
  3.0538555088334169E+02  3.6022205243477484E-06  3.6449467340099910E+00  7.6331308554934583E-03  1.3122858583592133E-04
  2.8480358684358032E+02  4.1939169423213673E-06  3.7234036036838929E+00  7.4352636401311028E-03  2.9351063067302121E-04
  2.6560877829466875E+02  4.8851531327142191E-06  3.8022990963786509E+00  7.2311574568535309E-03  6.3323885496176279E-04
  2.4770763559917120E+02  5.6932226838666775E-06  3.8816988455653911E+00  7.0185150693443483E-03  1.3073645240252350E-03
  2.3101297000831607E+02  6.6414302586688442E-06  3.9619106889444011E+00  6.7885617210917439E-03  2.6429990750629646E-03
  2.1544346900318845E+02  7.7733886063159682E-06  4.0442567995172709E+00  6.5118629392970648E-03  5.1168208964749587E-03
  2.0092330025650480E+02  9.2749554436535337E-06  4.1372581002278785E+00  6.0181030023617934E-03  1.0374494735452268E-02
  1.8738174228603850E+02  1.1540940158851369E-05  4.2532688090873512E+00  5.1039606686555496E-03  2.2630214077558528E-02
  1.7475284000076849E+02  1.4554855210482533E-05  4.3772511294018637E+00  3.9858433375876958E-03  5.4769862238867782E-02
  1.6297508346206450E+02  1.8059161826365023E-05  4.4929041080491814E+00  2.1926267278871399E-03  1.7694489929319457E-01
  1.5199110829529346E+02  2.2125712917156284E-05  4.6018083387264959E+00  8.8547542572722142E-04  2.6484801312126921E-01
  1.4174741629268061E+02  2.6740807328182779E-05  4.7032112855848727E+00  7.9940071989904177E-04  2.4165872308016606E-01
  1.3219411484660299E+02  3.1951980214612271E-05  4.7982072398524780E+00  7.3876555132156301E-04  2.2447034626915729E-01
  1.2328467394420669E+02  3.7825072944899488E-05  4.8878901686876990E+00  6.9471383277596300E-04  2.1174524708648201E-01
  1.1497569953977364E+02  4.4453127607143517E-05  4.9733503488211861E+00  6.6210764143449503E-04  2.0222519995372104E-01
  1.0722672220103239E+02  5.1958914639282640E-05  5.0555852481675050E+00  6.3743249205557636E-04  1.9496774748080609E-01
  1.0000000000000006E+02  6.0494457260944177E-05  5.1354347013729660E+00  6.1823483737800911E-04  1.8928826546211749E-01
  9.3260334688322047E+01  7.0241383986778105E-05  5.2135689638742031E+00  6.0279584874029814E-04  1.8469740075180968E-01
  8.6974900261778387E+01  8.1412974202110786E-05  5.2905068956637518E+00  5.8990648555117540E-04  1.8084669262414277E-01
  8.1113083078968756E+01  9.4257768845707845E-05  5.3666419779343233E+00  5.7871470337785534E-04  1.7748732940924514E-01
  7.5646332755462936E+01  1.0906555121922578E-04  5.4422729760224824E+00  5.6861191696122289E-04  1.7444235516980541E-01
  7.0548023107186481E+01  1.2617408645348229E-04  5.5176255378826582E+00  5.5916255573452663E-04  1.7158363510687633E-01
  6.5793322465756845E+01  1.4597764036277175E-04  5.5928702586489063E+00  5.5005407350821754E-04  1.6881917188298995E-01
  6.1359072734131772E+01  1.6893694552221086E-04  5.6681350652904756E+00  5.4106486141543406E-04  1.6608352008159935E-01
  5.7223676593502212E+01  1.9559005531388798E-04  5.7435139606556564E+00  5.3204249759950092E-04  1.6333243593307739E-01
  5.3366992312063132E+01  2.2656399702559638E-04  5.8190716612067002E+00  5.2289105166207245E-04  1.6053705027640131E-01
  4.9770235643321143E+01  2.6259000212818938E-04  5.8948474639641022E+00  5.1356152087902703E-04  1.5768381364791406E-01
  4.6415888336127821E+01  3.0451779731365550E-04  5.9708571171574265E+00  5.0404516727138983E-04  1.5477064985918779E-01
  4.3287612810830616E+01  3.5332992422633120E-04  6.0470923008883739E+00  4.9437113399698404E-04  1.5180726486976506E-01
  4.0370172585965577E+01  4.1015576812886427E-04  6.1235235374394579E+00  4.8459766544689574E-04  1.4881120463784056E-01
  3.7649358067924709E+01  4.7629160214187428E-04  6.2001005090883607E+00  4.7480971613621080E-04  1.4580980609646971E-01
  3.5111917342151344E+01  5.5321759748366687E-04  6.2767542602322672E+00  4.6511250177096999E-04  1.4283526729946644E-01
  3.2745491628777316E+01  6.4260812306377859E-04  6.3533997370387585E+00  4.5562449713759114E-04  1.3992449386780734E-01
  3.0538555088334185E+01  7.4635644313902558E-04  6.4299402742327478E+00  4.4647050399143471E-04  1.3711514919199738E-01
  2.8480358684358045E+01  8.6659083588985981E-04  6.5062724875883724E+00  4.3777394458615156E-04  1.3444605668986168E-01
  2.6560877829466889E+01  1.0056981053772299E-03  6.5822924084320524E+00  4.2964910296989356E-04  1.3195217263593342E-01
  2.4770763559917135E+01  1.1663542187533744E-03  6.6579021579054114E+00  4.2219425258478640E-04  1.2966374231821312E-01
  2.3101297000831622E+01  1.3515631973328465E-03  6.7330164963984149E+00  4.1548582257860993E-04  1.2760415291921909E-01
  2.1544346900318860E+01  1.5647126910326350E-03  6.8075699543364827E+00  4.0957255288321423E-04  1.2578887545976269E-01
  2.0092330025650494E+01  1.8096460678173037E-03  6.8815205514361475E+00  4.0447432195247574E-04  1.2422372748220954E-01
  1.8738174228603860E+01  2.0907503884396526E-03  6.9548520217233225E+00  4.0018219008205823E-04  1.2290570566094150E-01
  1.7475284000076858E+01  2.4130704776534027E-03  7.0275754133951960E+00  3.9665855081973426E-04  1.2182388786021806E-01
  1.6297508346206460E+01  2.7824392683012994E-03  7.0997258576884592E+00  3.9384224307599942E-04  1.2095918015615446E-01
  1.5199110829529355E+01  3.2056249528246523E-03  7.1713561743893699E+00  3.9165658573997567E-04  1.2028808912640289E-01
  1.4174741629268068E+01  3.6905205656544461E-03  7.2425365616464417E+00  3.9000913290188847E-04  1.1978225984140158E-01
  1.3219411484660306E+01  4.2462868523160634E-03  7.3133409165206729E+00  3.8880697630752094E-04  1.1941316283556952E-01
  1.2328467394420676E+01  4.8835396653852756E-03  7.3838415883018937E+00  3.8796181398914901E-04  1.1915367634830074E-01
  1.1497569953977372E+01  5.6145961993488980E-03  7.4541086725729455E+00  3.8738986292129770E-04  1.1897808063160945E-01
  1.0722672220103245E+01  6.4536881476478548E-03  7.5242036844777793E+00  3.8701848878128036E-04  1.1886407740712117E-01
  1.0000000000000012E+01  7.4173175715285143E-03  7.5941839860851523E+00  3.8678055166864450E-04  1.1879096530600920E-01
